Subject,Folder,RawFolderPath,TreatNum,SessionInclude,Weight,Physiological state,ExtractedFolderPath,DLCFolderPath
PB26,PB26-220608-113244,Desktop\PaulaB\Tanks\,45,Y,247,Sodium Depleted,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\,Box\RoitmanTeamPhotometryFolder\Paula\DLC\Sodium_Appetite_DLC\Matlab Data\DLC\SodiumAppetite\ForDLC\DLC\SodiumAppetite\Raw_Videos\
PB27,PB27-220608-104154,Desktop\PaulaB\Tanks\,45,Y,237,Sodium Depleted,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\,Box\RoitmanTeamPhotometryFolder\Paula\DLC\Sodium_Appetite_DLC\Matlab Data\DLC\SodiumAppetite\ForDLC\DLC\SodiumAppetite\Raw_Videos\
PB30,PB30-220620-100529,Desktop\PaulaB\Tanks\,45,Y,266,Sodium Depleted,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\,Box\RoitmanTeamPhotometryFolder\Paula\DLC\Sodium_Appetite_DLC\Matlab Data\DLC\SodiumAppetite\ForDLC\DLC\SodiumAppetite\Raw_Videos\
PB31,PB31-220620-105832,Desktop\PaulaB\Tanks\,45,Y,470,Sodium Depleted,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\,Box\RoitmanTeamPhotometryFolder\Paula\DLC\Sodium_Appetite_DLC\Matlab Data\DLC\SodiumAppetite\ForDLC\DLC\SodiumAppetite\Raw_Videos\
PB46,PB46-220926-133715,Desktop\PaulaB\Tanks\,45,Y,332,Sodium Depleted,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\,Box\RoitmanTeamPhotometryFolder\Paula\DLC\Sodium_Appetite_DLC\Matlab Data\DLC\SodiumAppetite\ForDLC\DLC\SodiumAppetite\Raw_Videos\
PB48,PB48-220926-121542,Desktop\PaulaB\Tanks\,45,Y,304,Sodium Depleted,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\,Box\RoitmanTeamPhotometryFolder\Paula\DLC\Sodium_Appetite_DLC\Matlab Data\DLC\SodiumAppetite\ForDLC\DLC\SodiumAppetite\Raw_Videos\
PB71,PB71-221123-113609,Desktop\PaulaB\Tanks\,45,Y,454,Sodium Depleted,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\,Box\RoitmanTeamPhotometryFolder\Paula\DLC\Sodium_Appetite_DLC\Matlab Data\DLC\SodiumAppetite\ForDLC\DLC\SodiumAppetite\Raw_Videos\
PB72,PB72-221123-122441,Desktop\PaulaB\Tanks\,45,Y,540,Sodium Depleted,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\,Box\RoitmanTeamPhotometryFolder\Paula\DLC\Sodium_Appetite_DLC\Matlab Data\DLC\SodiumAppetite\ForDLC\DLC\SodiumAppetite\Raw_Videos\
PB73,PB73-221123-131413,Desktop\PaulaB\Tanks\,45,Y,281,Sodium Depleted,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\,Box\RoitmanTeamPhotometryFolder\Paula\DLC\Sodium_Appetite_DLC\Matlab Data\DLC\SodiumAppetite\ForDLC\DLC\SodiumAppetite\Raw_Videos\
PB75,PB75-221123-140659,Desktop\PaulaB\Tanks\,45,Y,278,Sodium Depleted,Box\RoitmanTeamPhotometryFolder\Paula\Salt Appetite\Extracted Raw Data\,Box\RoitmanTeamPhotometryFolder\Paula\DLC\Sodium_Appetite_DLC\Matlab Data\DLC\SodiumAppetite\ForDLC\DLC\SodiumAppetite\Raw_Videos\
