,PB23-220608-131619,PB24-220608-122638,PB33-220620-115414,PB39-220629-105034,PB391-220829-111452,PB44-220829-121005,PB61-221024-110730,PB62-221024-120029,PB64-221024-143444,PB70-221024-134346,PB23-220601-142444,PB24-220601-133332,PB33-220614-133339,PB39-220627-104923,PB391-220826-104731,PB44-220826-113745,PB61-221022-094209,PB62-221022-103215,PB64-221022-112221,PB70-221022-121226,PB39-220705-114000,PB391-220902-105101,PB44-220902-114732,PB61-221027-091856,PB62-221027-100635,PB70-221027-114604,PB23-220603-132442,PB24-220603-123453,PB33-220616-112230,PB26-220608-113244,PB27-220608-104154,PB30-220620-100529,PB31-220620-105832,PB46-220926-133715,PB48-220926-121542,PB71-221123-113609,PB72-221123-122441,PB73-221123-131413,PB75-221123-140659,PB26-220601-113859,PB27-220601-104408,PB30-220614-104707,PB31-220614-113720,PB46-220922-132610,PB48-220922-123633,PB71-221121-112814,PB72-221121-121640,PB73-221121-130541,PB75-221121-144718,PB46-220930-111138,PB48-220930-120525,PB71-221130-125512,PB72-221130-134630,PB26-220603-105230,PB27-220603-100206,PB30-220616-092859,PB31-220616-101753
0,45.72315648,40.75913216,40.4430848,42.94443008,78.50000384,45.04354816,62.14909952,53.112832,50.3586816,43.63042816,40.931328,51.0763008,54.54430208,52.24022016,41.01767168,33.89227008,47.41709824,51.97021184,50.7486208,54.86411776,44.7930368,82.837504,41.38532864,46.813184,43.75969792,39.9491072,50.76189184,50.71388672,51.37317888,52.21433344,54.14617088,43.18445568,35.97942784,35.7466112,38.43342336,51.4367488,40.94787584,44.5177856,42.29660672,51.66678016,46.98882048,45.9194368,40.31987712,40.972288,52.14339072,60.54805504,51.50244864,41.05650176,67.90496256,46.01397248,50.78941696,56.32180224,51.14068992,38.3541248,36.48602112,51.40660224,50.39128576
1,95.73285888,95.76873984,90.45295104,87.95406336,128.5095424,95.05308672,122.15861248,98.12246528,105.36828928,88.64006144,95.94093568,111.08564992,104.55400448,107.24982784,91.02721024,93.90194688,107.4266112,106.97981952,110.7582976,114.87363072,94.80257536,127.84713728,91.3948672,96.82272256,98.76946944,89.9588096,105.77166336,105.7234944,96.38281216,97.22396672,104.15570944,103.19413248,85.98913024,90.75621888,93.4428672,96.44638208,100.95722496,89.52741888,102.30611968,96.67657728,101.99842816,95.9291392,95.32964864,100.9819648,102.15309312,115.55749888,96.51208192,91.06604032,117.91466496,91.0237696,110.79909376,106.33150464,101.15039232,98.36347392,96.49553408,106.41620992,100.40082432
2,155.74237184,155.7782528,145.46255872,147.96357632,173.51917568,155.06276352,167.16824576,158.13214208,150.3780864,138.6496,145.95063808,166.09542144,164.56351744,157.25953024,136.03700736,153.91145984,167.43612416,161.9894272,160.76783616,164.88316928,154.81208832,177.85683968,141.4045696,146.8325888,148.77917184,139.968512,150.78129664,155.73303296,151.39241984,152.23373824,159.16548096,158.20374016,130.99876352,150.76573184,143.4525696,146.45608448,145.96702208,134.537216,152.31565824,146.68627968,147.00806144,150.93874688,140.33928192,160.99147776,147.16256256,160.567296,141.52187904,151.07555328,177.92401408,151.03328256,165.80870144,151.34130176,161.15990528,148.37334016,156.50521088,161.4258176,145.41062144
3,215.7518848,205.78811904,200.47200256,207.97308928,218.52880896,200.07223296,227.17792256,208.1415168,200.38762496,193.65920768,205.96015104,216.10512384,224.5730304,212.26913792,181.04664064,203.92132608,212.44592128,216.99903488,220.77751296,224.89284608,199.8217216,227.86637824,201.41391872,191.84222208,208.7886848,184.97798144,200.79099904,205.74273536,211.4019328,197.24337152,209.17518336,213.21334784,181.00830208,195.77552896,193.462272,201.46552832,195.97672448,179.54684928,212.3251712,196.69581824,207.0175744,205.94835456,190.34898432,206.00111104,207.1724032,215.57690368,191.5314176,211.08523008,232.9337856,201.04298496,220.81830912,211.35097856,211.16944384,198.38287872,211.51481856,216.43542528,205.4201344
4,270.76149248,265.797632,260.48167936,267.98276608,278.53832192,250.08177152,277.18746112,258.1512192,255.39723264,248.66881536,250.96978432,271.11473152,279.58263808,272.27865088,241.05631744,253.9307008,257.45555456,277.00871168,270.78705152,279.90228992,249.83126016,272.87601152,261.42343168,236.85185536,268.79819776,234.98784768,250.8005376,265.75241216,256.41172992,252.2529792,259.18488576,263.22305024,226.01793536,240.78516224,253.47178496,246.47532544,255.98623744,234.55645696,262.33503744,251.70542592,252.02737152,265.95786752,235.35845376,266.010624,252.1817088,260.58653696,251.54093056,266.09483776,277.94341888,251.05252352,265.8279424,256.360448,271.17912064,243.392512,266.52459008,276.44510208,265.4298112
5,325.77110016,310.80726528,305.49131264,327.99244288,338.54767104,305.0913792,337.19713792,303.16085248,315.4067456,298.67851776,300.97932288,331.12424448,334.59224576,327.28825856,286.06578688,298.94049792,312.4649984,332.01815552,325.7966592,324.91208704,309.84093696,317.88548096,306.43306496,286.86155776,328.80771072,289.99729152,310.8102144,320.76201984,301.4213632,297.26261248,314.19449344,323.2325632,276.02763776,300.79483904,303.48148736,291.48495872,310.99568128,279.56609024,322.34438656,306.71519744,302.03707392,315.96773376,285.36815616,321.02023168,312.1913856,320.59621376,296.55072768,326.10418688,327.95312128,301.06238976,325.8376192,316.3701248,321.18882304,303.40235264,321.53419776,336.4544512,310.43928064
6,380.78070784,355.81689856,360.50092032,383.00205056,383.55746816,350.10101248,382.20660736,363.17036544,375.41625856,358.68786688,360.98899968,381.13378304,394.60192256,377.29779712,341.0755584,353.9501056,362.47486464,387.0277632,385.80617216,384.92176384,369.85044992,372.89508864,366.44257792,341.87116544,383.81748224,335.00708864,360.81975296,365.77165312,356.43097088,352.272384,359.20412672,373.24210176,336.03715072,350.8043776,348.49128448,341.49466112,361.00538368,339.57576704,377.35415808,356.72457216,347.0467072,365.97710848,330.37795328,371.02993408,367.20099328,365.60601088,356.5600768,381.11379456,387.96263424,346.07202304,380.84706304,376.3798016,381.198336,348.41182208,371.54390016,391.46405888,360.44898304
7,430.79041024,400.82669568,420.51043328,433.01175296,428.56710144,400.11055104,442.21628416,418.17997312,435.42577152,408.69756928,415.99860736,431.14348544,439.61155584,437.30747392,386.08519168,413.95961856,422.4843776,437.0374656,430.81596928,439.93120768,414.8600832,417.90488576,411.4522112,391.88086784,433.8270208,385.0166272,415.82936064,425.78116608,406.44050944,397.28185344,409.21382912,428.25170944,391.0467584,405.81414912,398.50082304,386.5042944,411.01492224,384.58523648,427.3635328,416.73424896,402.05631488,415.98681088,375.38758656,431.03961088,427.21050624,410.61564416,406.5697792,436.12356608,447.9721472,406.08169984,435.85683456,426.389504,431.2080384,398.42152448,431.55324928,436.473856,420.45865984
8,485.80001792,455.83613952,470.52013568,493.02126592,488.5766144,460.11990016,502.22579712,468.18951168,490.4353792,453.70703872,476.00812032,481.15318784,489.62125824,487.31717632,436.09473024,473.96913152,477.49382144,487.047168,485.82541312,484.9410048,459.86955264,467.91442432,466.46165504,436.89066496,493.8366976,440.02623488,460.83915776,475.79086848,461.45011712,447.29171968,464.22327296,473.26150656,446.05636608,465.82366208,443.51029248,446.5139712,461.02478848,439.59484416,482.37330432,466.74378752,452.06585344,470.9965824,430.39719424,481.04914944,482.22011392,470.62515712,466.57929216,486.1329408,492.98178048,461.09130752,495.86634752,486.39901696,486.21748224,443.4313216,481.56295168,486.4835584,465.46829312
9,540.8096256,505.84584192,525.52974336,553.03077888,548.58596352,515.12950784,557.2354048,513.19914496,550.445056,503.71674112,536.01763328,536.16263168,549.6307712,542.326784,491.10450176,528.9787392,527.50352384,542.05677568,540.83518464,539.95061248,514.87916032,522.92419584,516.47135744,481.90029824,538.84633088,500.03591168,505.84879104,535.80054528,506.4597504,502.30132736,509.23307008,523.27104512,491.0661632,510.83329536,498.520064,501.52357888,506.03425792,494.60461568,542.38281728,526.75346432,507.07562496,526.00602624,475.40699136,526.05878272,532.22965248,520.63469568,511.58892544,536.1426432,547.99138816,516.1009152,540.8759808,531.40865024,531.22711552,488.44095488,526.5727488,531.49319168,520.4779008
